iteration,iteration-mean-cost,best-cost
266,12985.3,9515.6
267,13399.9,9515.6
268,13674.4,9515.6
269,13194.5,9515.6
270,12743.3,9515.6
271,13340.5,9515.6
272,12917.7,9515.6
273,12984.0,9515.6
274,12835.3,9515.6
275,13481.7,9515.6
276,12918.7,9515.6
277,12939.2,9515.6
278,13278.8,9515.6
279,13160.4,9515.6
280,13418.4,9515.6
281,13446.0,9515.6
282,12768.7,9515.6
283,13161.2,9515.6
284,13100.0,9515.6
285,13301.2,9515.6
286,13239.6,9515.6
287,13101.7,9515.6
288,13706.4,9515.6
289,13233.7,9515.6
290,13577.4,9515.6
291,12774.2,9515.6
292,13850.2,9515.6
293,13731.8,9515.6
294,13127.2,9515.6
295,13015.6,9515.6
296,13236.5,9515.6
297,13437.8,9515.6
298,13245.9,9515.6
299,12434.7,9515.6
300,12427.3,9515.6
301,13485.3,9515.6
302,12572.0,9515.6
303,12779.9,9515.6
304,12595.4,9515.6
305,13189.8,9515.6
306,12206.1,9515.6
307,12965.3,9515.6
308,13124.7,9515.6
309,12720.0,9515.6
310,12683.9,9515.6
311,12700.7,9515.6
312,13536.5,9515.6
313,12545.3,9515.6
314,12950.9,9515.6
315,12336.9,9515.6
316,12545.8,9515.6
317,12838.6,9515.6
318,13305.9,9515.6
319,13344.9,9515.6
320,13118.0,9515.6
321,12856.1,9515.6
322,12835.4,9515.6
323,13006.5,9515.6
324,13183.4,9515.6
325,13261.1,9515.6
326,12767.8,9515.6
327,12922.5,9515.6
328,13144.3,9515.6
329,13370.6,9515.6
330,12961.5,9515.6
331,13352.2,9515.6
332,13043.2,9515.6
333,13221.0,9515.6
334,13262.0,9515.6
335,13294.9,9515.6
336,13013.0,9515.6
337,13052.2,9515.6
338,13356.4,9515.6
339,13526.2,9515.6
340,13695.5,9515.6
341,12961.7,9515.6
342,13437.7,9515.6
343,13407.0,9515.6
344,12969.4,9515.6
345,12787.1,9515.6
346,13185.0,9515.6
347,13487.9,9515.6
348,13277.2,9515.6
349,13164.6,9515.6
350,12954.3,9515.6
351,13027.2,9515.6
352,13003.6,9515.6
353,12771.5,9515.6
354,13181.5,8748.8
355,13199.8,8748.8
356,12809.0,8748.8
357,13042.0,8748.8
358,13170.4,8748.8
359,12835.1,8748.8
360,13050.4,8748.8
361,13109.7,8748.8
362,12972.9,8748.8
363,12585.5,8748.8
364,12853.6,8748.8
365,13144.7,8748.8
366,13199.0,8748.8
367,13141.6,8748.8
368,13081.1,8748.8
369,12899.9,8748.8
370,13094.8,8748.8
371,13049.9,8748.8
372,12892.6,8748.8
373,12741.3,8748.8
374,13097.9,8748.8
375,13389.7,8748.8
376,13423.2,8748.8
377,12794.2,8748.8
378,13662.4,8748.8
379,13735.6,8748.8
380,12972.1,8748.8
381,12904.8,8748.8
382,12847.7,8748.8
383,13260.4,8748.8
384,12830.1,8748.8
385,12880.7,8748.8
386,12825.8,8748.8
387,13113.1,8748.8
388,12884.4,8748.8
389,13237.9,8748.8
390,13232.2,8748.8
391,12634.1,8748.8
392,12882.4,8748.8
393,12508.5,8748.8
394,12567.3,8748.8
395,12989.1,8748.8
396,13332.4,8748.8
397,13177.4,8748.8
398,13350.9,8748.8
399,13051.1,8748.8
400,12742.4,8748.8
401,13130.8,8748.8
402,13552.0,8748.8
403,13668.6,8748.8
404,13134.4,8748.8
405,13135.2,8748.8
406,13421.8,8748.8
407,12792.1,8748.8
408,13315.0,8748.8
409,13293.5,8748.8
410,13364.7,8748.8
411,13720.4,8748.8
412,13187.2,8748.8
413,13369.6,8748.8
414,13592.4,8748.8
415,13043.4,8748.8
416,13197.5,8748.8
417,13071.8,8748.8
418,12777.0,8748.8
419,13174.4,8748.8
420,12972.8,8748.8
421,13158.5,8748.8
422,12692.0,8748.8
423,13128.9,8748.8
424,13525.4,8748.8
425,12947.8,8748.8
426,12728.1,8748.8
427,13553.4,8748.8
428,12853.6,8748.8
429,12992.6,8748.8
430,13314.1,8748.8
431,12959.5,8748.8
432,12943.7,8748.8
433,13292.4,8748.8
434,13610.9,8748.8
435,13231.0,8748.8
436,13393.6,8748.8
437,12724.6,8748.8
438,13319.8,8748.8
439,13023.7,8748.8
440,13101.6,8748.8
441,13031.9,8748.8
442,12575.8,8748.8
443,12830.6,8748.8
444,12914.9,8748.8
445,12745.1,8748.8
446,12781.5,8748.8
447,12922.9,8748.8
448,13164.3,8748.8
449,12620.6,8748.8
450,13277.9,8748.8
451,13596.6,8748.8
452,13611.9,8748.8
453,13073.3,8748.8
454,13249.6,8748.8
455,13397.8,8748.8
456,13067.6,8748.8
457,13362.5,8748.8
458,12803.9,8748.8
459,12775.9,8748.8
460,13072.6,8748.8
461,13073.7,8748.8
462,13264.3,8748.8
463,12888.0,8748.8
464,13174.4,8748.8
465,13268.0,8748.8
466,13666.5,8748.8
467,12706.8,8748.8
468,13083.1,8748.8
469,13264.7,8748.8
470,13018.5,8748.8
471,13027.5,8748.8
472,13356.4,8748.8
473,13229.1,8748.8
474,13201.9,8748.8
475,13648.0,8748.8
476,13423.1,8748.8
477,12899.2,8748.8
478,12553.8,8748.8
479,13034.0,8748.8
480,13249.3,8748.8
481,13108.7,8748.8
482,13519.6,8748.8
483,13173.9,8748.8
484,13707.6,8748.8
485,13427.5,8748.8
486,13047.5,8748.8
487,12964.4,8748.8
488,13342.3,8748.8
489,13677.5,8748.8
490,13180.3,8748.8
491,13428.5,8748.8
492,13258.8,8748.8
493,13262.6,8748.8
494,13791.0,8748.8
495,13231.0,8748.8
496,13915.6,8748.8
497,12518.6,8748.8
498,12872.5,8748.8
499,13323.7,8748.8
500,13355.6,8748.8
501,13330.1,8748.8
502,13457.3,8748.8
503,13067.3,8748.8
504,12866.0,8748.8
505,13034.7,8748.8
506,12593.8,8748.8
507,12979.1,8748.8
508,13286.5,8748.8
509,12864.4,8748.8
510,13196.4,8748.8
511,13464.5,8748.8
512,12971.9,8748.8
513,13032.5,8748.8
514,13577.3,8748.8
515,13382.4,8748.8
516,12645.6,8748.8
517,12693.3,8748.8
518,13178.9,8748.8
519,13090.4,8748.8
520,13346.9,8748.8
521,13139.7,8748.8
522,12932.3,8748.8
523,13008.6,8748.8
524,13392.0,8748.8
525,12622.2,8748.8
526,12786.6,8748.8
527,13227.1,8748.8
528,13447.5,8748.8
529,13307.1,8748.8
530,13200.0,8748.8
531,13158.3,8748.8
532,13213.2,8748.8
533,12857.4,8748.8
534,13204.8,8748.8
535,13293.5,8748.8
536,13619.8,8748.8
537,12981.6,8748.8
538,13154.4,8748.8
539,13014.5,8748.8
540,12766.0,8748.8
541,12596.7,8748.8
542,13015.5,8748.8
543,12860.9,8748.8
544,13122.0,8748.8
545,13177.7,8748.8
546,13447.1,8748.8
547,13482.5,8748.8
548,12804.4,8748.8
549,13180.9,8748.8
550,13650.6,8748.8
551,13083.4,8748.8
552,13196.9,8748.8
553,13088.0,8748.8
554,13077.6,8748.8
555,13343.1,8748.8
556,13133.8,8748.8
557,13019.0,8748.8
558,12828.2,8748.8
559,13415.0,8748.8
560,13074.6,8748.8
561,13699.3,8748.8
562,13600.1,8748.8
563,13012.8,8748.8
564,13126.2,8748.8
565,13019.1,8748.8
566,13385.8,8748.8
567,13086.0,8748.8
568,13592.7,8748.8
569,13385.1,8748.8
570,12953.8,8748.8
571,13360.0,8748.8
572,13311.8,8748.8
573,12946.1,8748.8
574,13717.1,8748.8
575,13627.2,8748.8
576,13375.1,8748.8
577,13160.7,8748.8
578,13616.2,8748.8
579,13154.4,8748.8
580,12978.3,8748.8
581,12942.4,8748.8
582,12855.1,8748.8
583,13032.5,8748.8
584,12875.8,8748.8
585,13382.9,8748.8
586,12909.4,8748.8
587,12631.2,8748.8
588,13233.0,8748.8
589,12989.9,8748.8
590,13423.4,8748.8
591,13091.4,8748.8
592,12988.5,8748.8
593,13007.0,8748.8
594,13467.4,8748.8
595,13776.3,8748.8
596,13539.1,8748.8
597,13670.1,8748.8
598,13508.8,8748.8
599,13261.2,8748.8
600,13548.3,8748.8
601,13256.8,8748.8
602,13410.0,8748.8
603,12671.8,8748.8
604,13237.3,8748.8
605,12743.1,8748.8
606,12923.8,8748.8
607,12946.2,8748.8
608,13100.6,8748.8
609,12934.5,8748.8
610,13335.5,8748.8
611,13507.7,8748.8
612,12596.2,8748.8
613,13295.5,8748.8
614,12770.7,8748.8
615,13280.6,8748.8
616,13255.4,8748.8
617,13458.1,8748.8
618,13246.9,8748.8
619,12956.8,8748.8
620,13184.1,8748.8
621,12548.8,8748.8
622,12843.7,8748.8
623,12570.7,8748.8
624,12893.5,8748.8
625,13207.2,8748.8
626,12775.4,8748.8
627,12712.1,8748.8
628,13791.2,8748.8
629,13394.4,8748.8
630,13029.4,8748.8
631,13213.2,8748.8
632,13047.9,8748.8
633,13485.0,8748.8
634,13164.3,8748.8
635,13494.1,8748.8
636,13226.3,8748.8
637,13199.3,8748.8
638,13424.8,8748.8
639,13659.0,8748.8
640,13571.4,8748.8
641,13397.6,8748.8
642,13332.2,8748.8
643,12801.6,8748.8
644,13219.2,8748.8
645,12968.2,8748.8
646,12653.4,8748.8
647,13228.2,8748.8
648,13194.0,8748.8
649,13624.1,8748.8
650,12864.8,8748.8
651,13194.9,8748.8
652,12768.0,8748.8
653,12514.8,8748.8
654,13507.1,8748.8
655,13443.1,8748.8
656,13304.1,8748.8
657,13280.5,8748.8
658,13227.5,8748.8
659,13020.6,8748.8
660,13316.1,8748.8
661,13370.7,8748.8
662,13643.6,8748.8
663,13326.8,8748.8
664,13574.9,8748.8
665,13699.9,8748.8
666,13357.6,8748.8
667,13725.7,8748.8
668,13604.6,8748.8
669,12851.4,8748.8
670,13775.0,8748.8
671,13257.9,8748.8
672,13105.0,8748.8
673,13309.0,8748.8
674,13406.4,8748.8
675,13659.1,8748.8
676,13353.0,8748.8
677,13100.5,8748.8
678,12902.7,8748.8
679,13398.0,8748.8
680,13180.3,8748.8
681,13354.6,8748.8
682,13773.5,8748.8
683,14002.5,8748.8
684,12736.5,8748.8
685,13062.8,8748.8
686,13529.7,8748.8
687,13105.2,8748.8
688,13498.1,8748.8
689,13571.1,8748.8
690,13537.1,8748.8
691,12994.6,8748.8
692,12931.1,8748.8
693,13544.0,8748.8
694,13075.1,8748.8
695,13283.9,8748.8
696,14039.2,8748.8
697,13634.3,8748.8
698,12893.8,8748.8
699,13425.4,8748.8
700,13223.7,8748.8
701,13178.7,8748.8
702,13298.6,8748.8
703,13789.4,8748.8
704,13091.2,8748.8
705,13515.1,8748.8
706,12761.4,8748.8
707,12960.9,8748.8
708,13386.3,8748.8
709,13257.9,8748.8
710,13269.5,8748.8
711,13289.4,8748.8
712,13061.4,8748.8
713,12776.8,8748.8
714,13292.7,8748.8
715,13094.4,8748.8
716,12607.6,8748.8
717,13007.8,8748.8
718,13234.4,8748.8
719,13019.1,8748.8
720,13458.3,8748.8
721,13154.9,8748.8
722,13076.6,8748.8
723,13012.1,8748.8
724,12755.9,8748.8
725,13260.8,8748.8
726,13232.6,8748.8
727,13112.4,8748.8
728,12769.6,8748.8
729,12562.3,8748.8
730,13245.3,8748.8
731,13011.3,8748.8
732,13303.8,8748.8
733,12895.9,8748.8
734,12940.4,8748.8
735,13519.8,8748.8
736,13485.8,8748.8
737,13265.2,8748.8
738,12548.8,8748.8
739,13235.1,8748.8
740,13350.2,8748.8
741,12789.3,8748.8
742,13118.1,8748.8
743,13519.0,8748.8
744,13163.7,8748.8
745,13055.5,8748.8
746,13756.4,8748.8
747,13629.7,8748.8
748,12898.4,8748.8
749,13436.5,8748.8
750,13129.7,8748.8
751,13424.9,8748.8
752,13635.5,8748.8
753,12901.5,8748.8
754,13227.0,8748.8
755,13057.8,8748.8
756,13008.2,8748.8
